职位名称,职位类别,人数,地点,发布时间
22968-本土日化服饰用品组长（上海）,市场类,1,上海,2017-10-26
23671-企鹅号-市场推广经理（北京）,市场类,2,北京,2017-12-14
WXG08-121 微信商业算法工程师(广州，北京),技术类,1,广州,2017-12-14
23671-企鹅号-市场策划经理（北京）,市场类,1,北京,2017-12-14
SNG03-群视频高级产品策划经理（深圳）,产品/项目类,1,深圳,2017-12-14
SNG02-腾讯云行业方案架构师（上海）,技术类,1,上海,2017-12-14
SNG16-全民K歌渠道运营经理（深圳）,产品/项目类,1,深圳,2017-10-27
23671-商务合作经理,市场类,2,北京,2017-10-27
TEG02-系统运维工程师,技术类,1,深圳,2017-10-27
SNG16-全民K歌内容运营经理（深圳）,内容编辑类,1,深圳,2017-10-26
15614-大型网络游戏版本管理（上海）,产品/项目类,1,上海,2017-10-26
15612-次世代3D角色美术（美术）（北京）,设计类,1,北京,2017-12-14
22025-建造类沙盒游戏资深2D原画设计（深圳）,设计类,1,深圳,2017-12-14
22990-战略BD经理（深圳）,市场类,1,深圳,2017-12-14
SNG08-QQ空间产品策划经理（深圳）,产品/项目类,1,深圳,2017-12-14
22990-视频云商务拓展经理（上海）,市场类,2,上海,2017-12-14
SNG02-音视频云高级产品经理（深圳）,产品/项目类,1,深圳,2017-12-14
SNG03-音视频高级开发工程师（深圳）,技术类,1,深圳,2017-12-14
17229-手游UE引擎高级工程师,技术类,3,深圳,2017-12-14
OMG-组织发展经理（北京）,职能类,1,北京,2017-12-14
23048-内容推荐算法高级工程师（北京）,技术类,1,北京,2017-12-14
SNG11-高级商业分析师（深圳）,市场类,1,深圳,2017-10-30
21229-竞技游戏高级赛事运营（上海）,产品/项目类,1,上海,2017-10-30
19081-游戏音频策划（深圳）,产品/项目类,1,深圳,2017-10-27
22989-腾讯云数据中心运营规划工程师（深圳）,技术类,1,深圳,2017-10-27
15569-魂斗罗高级数值策划（深圳）,产品/项目类,1,深圳,2017-10-27
16810-腾讯动漫视觉设计师（深圳）,设计类,1,深圳,2017-10-30
18796-高级IOS开发工程师（深圳）,技术类,1,深圳,2017-10-30
18796-数据分析师（深圳）,产品/项目类,1,上海,2017-10-30
HY2-大数据运维工程师（深圳）,技术类,1,深圳,2017-10-30
TEG13-python后台开发工程师（深圳）,技术类,2,深圳,2017-10-30
TEG06-高级售前技术工程师（北京）,职能类,2,北京,2017-10-27
15569-魂斗罗高级系统策划（深圳）,产品/项目类,1,深圳,2017-10-27
18302-剑灵IP手游本地化服务器开发工程师（深圳）,技术类,1,深圳,2017-10-27
22090-天天快报-短视频算法工程师（北京）,技术类,5,北京,2017-10-30
TEG04-项目经理（深圳）,产品/项目类,1,深圳,2017-10-30
22989-腾讯云课程开发经理（深圳）,产品/项目类,2,深圳,2017-12-14
MIG03-后台开发工程师（深圳）,技术类,1,深圳,2017-12-14
21229-本地化游戏策划（上海）,产品/项目类,2,上海,2017-12-14
15602-高级UI设计师（深圳）,设计类,1,深圳,2017-10-31
MIG16-腾讯地图导航/步行骑行/公交后台开发工程师(北京),技术类,2,北京,2017-10-30
15575-天美L1手游高级游戏策划（成都）,产品/项目类,1,成都,2017-10-30
SA-腾讯社交广告算法工程师（质量研发中心 北京）,技术类,2,北京,2017-12-14
SA-腾讯社交广告算法研究员（内广-图像视觉方向 深圳）,技术类,1,深圳,2017-12-14
MIG16-自动驾驶仿真模拟系统-前端开发(北京),技术类,1,北京,2017-10-30
20503-图像处理/计算机视觉工程师（深圳）,技术类,1,深圳,2017-10-30
MIG09-浏览器视频专区后台开发工程师,技术类,1,深圳,2017-12-14
18425-国际支付产品策划经理,产品/项目类,1,深圳,2017-12-14
15573-SLG手游高级策划（上海）,产品/项目类,1,上海,2017-12-14
HY1-手机游戏测试开发工程师(深圳),技术类,1,深圳,2017-12-14
AQ-产品安全经理（北京）,职能类,2,北京,2017-12-14
15851-后台开发工程师,技术类,1,深圳,2017-12-14
15851-前端开发工程师,技术类,1,深圳,2017-12-14
21309-在线教育高级web前端开发工程师（深圳）,技术类,10,深圳,2017-12-14
SNG06-QQ动漫平台运营经理（深圳）,产品/项目类,1,深圳,2017-12-14
19116-合作伙伴解决方案经理（上海）,技术类,1,上海,2017-12-14
MIG16-基础架构工程师（北京）,技术类,1,北京,2017-11-01
22086-篮球内容运营（北京）,内容编辑类,1,北京,2017-11-01
TEG01-PHP开发工程师（深圳）,技术类,1,深圳,2017-11-01
TEG01-C++客户端开发工程师（深圳）,技术类,2,深圳,2017-11-01
TEG01-后台开发工程师（深圳）,技术类,1,深圳,2017-11-01
MIG16-地图骑行步行导航数据高级产品经理（北京）,产品/项目类,1,北京,2017-11-01
AQ-安全产品经理（深圳）,职能类,1,深圳,2017-11-01
22989-腾讯云网络后台系统开发工程师（深圳）,技术类,2,深圳,2017-10-31
22990-行业大客户销售leader（深圳）,市场类,1,深圳,2017-10-31
15611-高级UnrealEngine技术美术（深圳）,设计类,1,深圳,2017-10-31
AQ-产品安全经理（广州）,职能类,2,广州,2017-12-14
AQ-行业合作经理（北京）,职能类,2,北京,2017-12-14
21226-Senior Business Analysis Manager(ShenZhen),市场类,2,深圳,2017-12-14
21226-Senior Overseas Publishing Manager（ShenZhen）,产品/项目类,3,深圳,2017-12-14
22989-腾讯专有云高级产品经理(IAAS)（深圳）,产品/项目类,1,深圳,2017-12-13
19332-企点C++后台高级工程师（上海）,技术类,1,上海,2017-11-02
23671-策略分析师,产品/项目类,2,北京,2017-11-02
HY2-python后台开发工程师（深圳）,技术类,1,深圳,2017-11-01
HY1-游戏公共技术项目经理（深圳）,产品/项目类,1,深圳,2017-11-01
HY1-高级web前端开发工程师（上海）,技术类,1,上海,2017-11-01
MIG16-腾讯地图Android开发工程师（北京）,技术类,1,北京,2017-11-01
22968-华南汽车销售策划经理,市场类,1,广州,2017-11-01
MIG16-AI算法研究（北京）,技术类,3,北京,2017-11-01
TEG09-Android研发工程师（深圳）,技术类,2,深圳,2017-11-01
23673-新闻热点运营编辑（北京）,内容编辑类,2,北京,2017-11-01
HY2-高级客户端开发工程师（深圳）,技术类,1,深圳,2017-12-13
